,Year,Month,Day,Start_Hour,End_Hour,Price
295,2016.0,9.0,14.0,1.0,2.0,40.82889
296,2016.0,9.0,13.0,23.0,0.0,27.25018
297,2016.0,9.0,13.0,22.0,23.0,25.2096
298,2016.0,9.0,13.0,21.0,22.0,24.20269
299,2016.0,9.0,13.0,19.0,20.0,22.00059
300,2016.0,9.0,13.0,15.0,16.0,26.8928
301,2016.0,9.0,13.0,12.0,13.0,31.79199
302,2016.0,9.0,13.0,11.0,12.0,27.00458
303,2016.0,9.0,14.0,6.0,7.0,30.5077
304,2016.0,9.0,13.0,18.0,19.0,20.92862
305,2016.0,9.0,13.0,17.0,18.0,20.85581
306,2016.0,9.0,13.0,7.0,8.0,27.64154
307,2016.0,9.0,13.0,16.0,17.0,22.04026
308,2016.0,9.0,14.0,3.0,4.0,43.30007
309,2016.0,9.0,13.0,10.0,11.0,25.15053
310,2016.0,9.0,13.0,8.0,9.0,25.53021
311,2016.0,9.0,13.0,20.0,21.0,22.97974
312,2016.0,9.0,15.0,1.0,2.0,42.77304
313,2016.0,9.0,15.0,2.0,3.0,51.31065
314,2016.0,9.0,15.0,5.0,6.0,34.60893
315,2016.0,9.0,14.0,7.0,8.0,28.49156
316,2016.0,9.0,14.0,13.0,14.0,36.59889
317,2016.0,9.0,14.0,14.0,15.0,36.71567
318,2016.0,9.0,14.0,19.0,20.0,26.84971
319,2016.0,9.0,15.0,0.0,1.0,36.36391
320,2016.0,9.0,15.0,6.0,7.0,30.59067
321,2016.0,9.0,14.0,8.0,9.0,26.50236
322,2016.0,9.0,14.0,20.0,21.0,27.31351
323,2016.0,9.0,14.0,23.0,0.0,33.41246
324,2016.0,9.0,15.0,3.0,4.0,43.18029
325,2016.0,9.0,14.0,17.0,18.0,25.39884
326,2016.0,9.0,14.0,12.0,13.0,32.64685
327,2016.0,9.0,14.0,15.0,16.0,29.82664
328,2016.0,9.0,14.0,21.0,22.0,28.8945
329,2016.0,9.0,14.0,16.0,17.0,26.53125
330,2016.0,9.0,14.0,9.0,10.0,25.87365
331,2016.0,9.0,14.0,10.0,11.0,25.74829
332,2016.0,9.0,14.0,11.0,12.0,27.21496
333,2016.0,9.0,14.0,18.0,19.0,26.29829
334,2016.0,9.0,14.0,22.0,23.0,30.76147
335,2016.0,9.0,15.0,4.0,5.0,35.88532
336,2016.0,9.0,15.0,19.0,20.0,27.80658
337,2016.0,9.0,16.0,3.0,4.0,43.999
338,2016.0,9.0,15.0,20.0,21.0,28.65303
339,2016.0,9.0,15.0,17.0,18.0,25.16992
340,2016.0,9.0,16.0,2.0,3.0,51.77664
341,2016.0,9.0,15.0,21.0,22.0,30.34868
342,2016.0,9.0,15.0,15.0,16.0,29.17209
343,2016.0,9.0,15.0,13.0,14.0,34.73341
344,2016.0,9.0,15.0,11.0,12.0,27.36951
345,2016.0,9.0,15.0,9.0,10.0,26.15421
346,2016.0,9.0,15.0,23.0,0.0,34.10608
347,2016.0,9.0,15.0,12.0,13.0,31.05626
348,2016.0,9.0,15.0,7.0,8.0,28.97845
349,2016.0,9.0,16.0,1.0,2.0,43.93705
350,2016.0,9.0,15.0,18.0,19.0,27.24
351,2016.0,9.0,15.0,16.0,17.0,26.44329
352,2016.0,9.0,15.0,10.0,11.0,25.9603
353,2016.0,9.0,15.0,14.0,15.0,35.06627
354,2016.0,9.0,16.0,6.0,7.0,31.54757
355,2016.0,9.0,15.0,8.0,9.0,26.93943
356,2016.0,9.0,16.0,0.0,1.0,36.33752
357,2016.0,9.0,16.0,5.0,6.0,34.53839
358,2016.0,9.0,16.0,4.0,5.0,36.89163
359,2016.0,9.0,15.0,22.0,23.0,32.67991
360,2016.0,9.0,16.0,7.0,8.0,29.1302
361,2016.0,9.0,16.0,17.0,18.0,21.57964
362,2016.0,9.0,16.0,20.0,21.0,27.05546
