type,name,latitude,longitude
Load Node,SANMRCOS_6_N011,33.1288,-117.2
Generation Node,SANMRCOS_6_N012,33.1288,-117.2
Load Node,JAPMESA_6_N001,33.3743,-117.55
Load Node,JAPMESA_6_N007,33.3743,-117.55
Load Node,CRSTNTS_6_N001,33.4634,-117.57
Load Node,RIOHONDO_6_N001,34.1061,-117.98
Generation Node,RIOHONDO_6_N004,34.1061,-117.98
Generation Node,RIOHONDO_6_N007,34.1061,-117.98
Load Node,GUALALA_6_N001,38.7867,-123.52
Load Node,OTTER_6_N001,36.4778,-121.73
Load Node,LEMOORE_6_N002,36.31,-119.8
Load Node,LEMOORE_6_N101,36.31,-119.8
Generation Node,WARNERVL_2_B1,37.74,-120.8
Generation Node,WARNERVL_2_B2,37.74,-120.8
Load Node,HOOPA_6_N001,41.0565,-123.68
Load Node,LAGNANL_1_N001,33.4949,-117.7
Load Node,LAGNANL_1_N002,33.4949,-117.7
Load Node,LAGNANL_1_N005,33.4949,-117.7
Load Node,LAGNANL_1_N006,33.4949,-117.7
Load Node,COTTLE_7_N001,37.7726,-120.83
Generation Node,COTTLE_7_N002,37.7726,-120.83
Load Node,CAPSTRNO_1_N001,33.5129,-117.67
Load Node,CAPSTRNO_1_N006,33.5129,-117.67
Generation Node,CAPSTRNO_1_N016,33.5129,-117.67
Load Node,COTTLEA_2_N001,37.7726,-120.83
Load Node,TRABUCO_1_N001,33.563,-117.67
Load Node,TRABUCO_1_N005,33.563,-117.67
Load Node,TRABUCO_1_N009,33.563,-117.67
Load Node,TRABUCO_1_N013,33.563,-117.67
Load Node,LINDEN_6_N101,38.0169,-121.1
Load Node,MARGARTA_1_N009,33.55,-117.63
Load Node,MARGARTA_1_N001,33.55,-117.63
Load Node,MARGARTA_1_N002,33.55,-117.63
Load Node,MARGARTA_1_N008,33.55,-117.63
Load Node,JCBSCRNR_6_N001,36.2225,-119.78
Load Node,JCBSCRNR_6_N003,36.2225,-119.78
Load Node,HERDLYN_6_N001,37.8164,-121.59
Load Node,CALISTGA_6_N001,38.5927,-122.58
Load Node,FIREBAGH_6_N001,36.8507,-120.47
Load Node,OLINDA_6_N001,33.9461,-117.92
Generation Node,OLINDA_6_N002,33.9461,-117.92
Generation Node,OLINDA_6_N004,33.9461,-117.92
Generation Node,OLINDA_6_N007,33.9461,-117.92
Load Node,MELROSE_6_N001,33.2065,-117.25
Load Node,MELROSE_6_N004,33.2065,-117.25
Load Node,MELROSE_6_N005,33.2065,-117.25
Load Node,MELROSE_6_N009,33.2065,-117.25
Load Node,SANMATEO_1_N001,37.5833,-122.32
Load Node,SANMATEO_1_N009,37.5833,-122.32
Load Node,HORNO_6_N001,33.3783,-117.46
Load Node,LASPULGS_6_N001,37.4629,-122.23
Load Node,WALNUT_6_N001,34.0085,-117.95
Generation Node,WALNUT_6_N007,34.0085,-117.95
Generation Node,WALNUT_6_N008,34.0085,-117.95
Load Node,PICO_1_N001,33.4568,-117.59
Load Node,PICO_1_N004,33.4568,-117.59
